OriginalURL,XMin,XMax,YMin,YMax,ClassName
https://c1.staticflickr.com/9/8245/8576773322_75c034dc48_o.jpg,0.13274336,0.36578172,0.09955752,1.0,Girl
https://farm7.staticflickr.com/8722/16859937176_59d85990e9_o.jpg,0.0,0.7761733000000001,0.38086644,0.99819493,Human hand
https://farm2.staticflickr.com/4102/4738660708_3f53822404_o.jpg,0.90625,0.921875,0.375,0.39583334,Clothing
https://c8.staticflickr.com/4/3594/3579839263_c9bfc905b8_o.jpg,0.18831168,0.83766234,0.23933649,0.8554502,Mammal
https://c1.staticflickr.com/6/5119/5913547060_6532420e7a_o.jpg,0.428125,0.91875,0.08541667,0.5625,Window
https://c6.staticflickr.com/8/7675/16977261369_73e7ae366f_o.jpg,0.42083898,0.79431665,0.3493976,1.0,Person
https://farm6.staticflickr.com/52/182432114_55fbe0f34f_o.jpg,0.6453125,0.6734375,0.49166667,0.5208332999999999,Human hair
https://c1.staticflickr.com/3/2665/4024381053_7594229708_o.jpg,0.0,0.090103395,0.62693155,0.8984546999999998,Clothing
https://c5.staticflickr.com/8/7081/7251956948_2c40a0a913_o.jpg,0.15521064,0.9977826999999999,0.0,0.7077827,Plant
https://c1.staticflickr.com/4/3931/15223973619_402af542e2_o.jpg,0.834375,0.98125,0.575,0.68125,Chair
https://farm7.staticflickr.com/1242/5153109110_35ddc9bbba_o.jpg,0.7353535,0.75757575,0.24555735,0.26817447,Human nose
https://c4.staticflickr.com/4/3194/2967261778_565be14cdf_o.jpg,0.0,0.225,0.0,1.0,Clothing
https://c7.staticflickr.com/4/3599/3560515962_e173e723bf_o.jpg,0.01623816,0.98376185,0.014457831,0.9855421999999998,Building
https://c3.staticflickr.com/6/5612/15596199108_a8cf47594b_o.jpg,0.4609375,0.7578125,0.014583333,0.8875,Mushroom
https://farm2.staticflickr.com/181/410462926_d9cc20ba98_o.jpg,0.05321508,0.9955654,0.0,0.60382915,Human hair
https://farm5.staticflickr.com/8681/16501405846_c058891d7d_o.jpg,0.82679296,0.9932341,0.021686748,0.8240964,Mammal
https://c7.staticflickr.com/5/4026/4271856399_d06ef262fe_o.jpg,0.14558823,0.22352941,0.33037695,0.57427937,Plant
https://c2.staticflickr.com/8/7238/7265793654_75a48e54de_o.jpg,0.25619835,0.36363637,0.1459566,0.31558186,Clothing
https://c5.staticflickr.com/7/6127/5922105100_91dccd91bc_o.jpg,0.95208335,0.99791664,0.5,0.5984375,Human body
https://farm5.staticflickr.com/1373/853475849_e773fbbed9_o.jpg,0.5995575,0.9800885,0.32300884,0.6917404,Mammal
https://c1.staticflickr.com/6/5101/5727382352_140454228c_o.jpg,0.9112425999999999,1.0,0.24229075,0.50440526,Human head
